OTU;all_fltr;fltr_micro;fltr_susp;micro_fltr;susp_fltr;ASV total abundance;ASV total abundance (log10);Prevalence;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU-2874;1;1;1;0;0;1146;3.059184618;90.4109589;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__;s__
OTU-5121;1;1;1;1;0;1383;3.14082218;91.09589041;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__211ds20;g__;s__
OTU-7;1;1;1;1;0;3558;3.551205944;91.78082192;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__211ds20;g__;s__
OTU-53321;1;1;1;1;0;1299;3.113609151;90.4109589;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__211ds20;g__;s__
OTU-305;1;1;1;1;0;2161;3.334654767;91.78082192;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__211ds20;g__;s__
OTU-48234;1;1;1;1;0;4572;3.660106222;91.78082192;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__211ds20;g__;s__
OTU-704;1;1;1;1;0;3339;3.523616419;89.04109589;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;NA;NA;NA;NA
OTU-81;1;1;1;1;0;6103;3.78554337;92.46575342;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Cellvibrio;s__
OTU-369;1;1;1;0;0;301;2.478566496;15.75342466;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Crenotrichaceae;g__Crenothrix;s__
OTU-352;1;1;1;0;1;548;2.738780558;34.93150685;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;NA;NA
OTU-455;1;1;1;0;0;259;2.413299764;19.8630137;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylosarcina;s__lacus
OTU-39431;1;1;1;1;1;9140;3.960946196;91.78082192;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__
OTU-47390;1;1;1;0;1;179;2.252853031;27.39726027;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__
OTU-47749;1;1;1;0;1;111;2.045322979;4.109589041;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;NA
OTU-47434;1;1;1;0;1;125;2.096910013;7.534246575;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;NA
OTU-47402;1;1;1;0;1;380;2.579783597;18.49315068;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__umsongensis
OTU-47788;1;1;1;0;1;219;2.340444115;35.61643836;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;NA
OTU-150;1;1;1;1;0;4851;3.685831275;73.97260274;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__alcaligenes
OTU-25822;1;1;1;1;1;6803;3.832700471;93.15068493;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__umsongensis
OTU-47779;1;1;1;0;1;220;2.342422681;52.05479452;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__
OTU-47504;1;1;1;0;1;321;2.506505032;41.78082192;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__umsongensis
OTU-47900;1;1;1;1;1;1642;3.215373153;64.38356164;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__
OTU-49248;1;1;1;0;1;1115;3.047274867;76.71232877;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;NA
OTU-1;1;1;1;1;1;204567;5.310835576;100;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;NA
OTU-9204;1;1;1;0;1;383;2.583198774;23.97260274;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__umsongensis
OTU-47460;1;1;1;0;1;1964;3.293141483;73.28767123;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__umsongensis
OTU-213;1;1;1;1;0;2863;3.456821348;86.30136986;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
OTU-863;1;1;1;1;0;1673;3.223495941;91.09589041;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__
OTU-217;1;1;1;1;0;961;2.982723388;83.56164384;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__mexicana
OTU-19416;1;1;1;1;0;145;2.161368002;43.83561644;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__
OTU-847;1;1;1;1;0;2635;3.42078062;91.09589041;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__
OTU-219;1;1;1;1;0;6541;3.815644149;78.76712329;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__acidaminiphila
OTU-26710;1;1;1;1;0;1671;3.22297645;71.23287671;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;NA
OTU-38;1;1;1;1;1;23915;4.378670385;93.83561644;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__
OTU-23709;1;1;1;1;0;1037;3.015778756;71.23287671;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Stenotrophomonas;s__maltophilia
OTU-151;1;1;1;1;0;2950;3.469822016;91.78082192;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;NA;NA
OTU-20;1;1;1;1;0;3969;3.598681099;91.09589041;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;s__
OTU-197;1;1;1;0;1;558;2.746634199;68.49315068;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__;s__
OTU-655;1;1;1;1;0;2982;3.474507639;91.09589041;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__
OTU-368;1;1;1;0;1;789;2.897077003;36.98630137;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__;s__
OTU-7634;1;1;1;1;0;660;2.819543936;76.71232877;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Methylibium;NA
OTU-54;1;1;1;1;0;6447;3.80935767;85.61643836;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__
OTU-22476;1;1;1;1;0;1338;3.126456113;86.98630137;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;NA;NA
OTU-3584;1;1;0;1;0;514;2.710963119;56.16438356;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;NA;NA
OTU-1129;1;1;1;0;1;497;2.696356389;78.08219178;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;NA;NA
OTU-16230;1;1;1;0;0;610;2.785329835;89.7260274;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__paradoxus
OTU-286;1;1;1;1;1;8068;3.90676589;91.78082192;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;s__
OTU-59018;1;1;0;1;0;1018;3.007747778;78.08219178;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Methylibium;s__petroleiphilum
OTU-1607;1;1;1;0;0;162;2.209515015;48.63013699;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;NA;NA
OTU-157;1;1;1;1;0;1714;3.234010818;91.78082192;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__;s__
OTU-52246;1;1;1;0;0;107;2.029383778;10.95890411;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__;s__
OTU-2428;1;1;1;1;0;1144;3.058426024;82.87671233;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__
OTU-317;1;1;0;1;0;5006;3.699490845;50;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Limnobacter;s__
OTU-98;1;1;1;1;1;8965;3.952550294;96.57534247;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__
OTU-2352;1;1;1;1;0;1190;3.075546961;88.35616438;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;NA
OTU-17;1;1;1;1;1;44284;4.646246842;95.89041096;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__lividum
OTU-5544;1;1;1;1;0;3248;3.511616021;88.35616438;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;NA
OTU-12250;1;1;1;1;0;1129;3.052693942;88.35616438;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__aerolata
OTU-47472;1;1;1;0;1;310;2.491361694;7.534246575;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__lividum
OTU-46;1;1;1;1;0;15558;4.191953767;86.98630137;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__
OTU-447;1;1;1;0;1;502;2.700703717;67.12328767;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__
OTU-694;1;1;1;0;0;390;2.591064607;70.54794521;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__;g__;s__
OTU-23166;1;1;1;1;0;1605;3.205475037;91.78082192;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__;g__;s__
OTU-109;1;1;1;1;0;2087;3.319522449;88.35616438;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosomonas;s__ureae
OTU-239;1;1;1;1;0;4454;3.648750213;89.7260274;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__;s__
OTU-203;1;1;1;0;1;761;2.881384657;71.23287671;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067;f__;g__;s__
OTU-1318;1;1;1;0;0;842;2.925312091;27.39726027;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Spirobacillales;f__;g__;s__
OTU-379;1;1;1;0;1;898;2.953276337;42.46575342;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;NA;NA;NA
OTU-560;1;1;1;0;1;1032;3.013679697;77.39726027;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__
OTU-380;1;1;1;0;1;1014;3.006037955;51.36986301;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;s__
OTU-477;1;1;1;0;0;501;2.699837726;66.43835616;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__;s__
OTU-28730;1;1;1;0;0;303;2.481442629;15.06849315;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae;g__Plesiocystis;s__
OTU-435;1;1;1;0;0;95;1.977723605;15.06849315;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
OTU-408;1;1;1;0;0;259;2.413299764;10.2739726;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
OTU-29477;1;1;1;0;0;256;2.408239965;10.2739726;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
OTU-2078;1;1;1;0;1;491;2.691081492;30.82191781;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
OTU-741;1;1;1;1;0;2538;3.404491618;86.98630137;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
OTU-1845;1;1;1;1;0;155;2.190331698;32.87671233;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
OTU-152;1;1;1;1;0;1331;3.124178055;89.7260274;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__OM27;g__;s__
OTU-258;1;1;1;1;0;1235;3.091666958;83.56164384;k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__Rhodothermaceae;g__;s__
OTU-70;1;1;1;1;0;4590;3.661812686;84.24657534;k__Bacteria;p__Chlorobi;c__OPB56;o__;f__;g__;s__
OTU-25730;1;1;1;1;0;564;2.751279104;80.82191781;k__Bacteria;p__Chlorobi;c__OPB56;o__;f__;g__;s__
OTU-15454;1;1;1;1;0;578;2.761927838;82.19178082;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
OTU-359;1;1;1;1;1;545;2.736396502;69.17808219;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
OTU-663;1;1;1;1;0;179;2.252853031;52.73972603;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__succinicans
OTU-59433;1;1;1;1;0;210;2.322219295;49.31506849;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
OTU-78;1;1;1;1;0;2549;3.406369835;87.67123288;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
OTU-706;1;1;1;1;0;139;2.1430148;27.39726027;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__;s__
OTU-47905;1;1;1;0;1;11440;4.058426024;23.97260274;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__
OTU-48021;1;0;1;0;1;580;2.763427994;6.849315068;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__
OTU-185;1;1;1;1;0;8104;3.908699432;86.30136986;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__
OTU-571;1;1;1;1;0;264;2.421603927;58.90410959;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__xinjiangensis
OTU-19991;1;1;0;1;0;100;2;21.91780822;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__
OTU-8353;1;1;1;1;0;1237;3.0923697;90.4109589;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__
OTU-106;1;1;1;1;0;3299;3.518382316;91.09589041;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__
OTU-124;1;1;1;1;0;4558;3.658774321;91.78082192;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__
OTU-9681;1;1;1;1;0;225;2.352182518;42.46575342;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__
OTU-47468;1;0;1;0;1;154;2.187520721;4.109589041;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__multivorum
OTU-494;1;1;1;0;1;5024;3.701049631;36.98630137;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__multivorum
OTU-514;1;1;1;0;1;848;2.928395852;10.95890411;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__multivorum
OTU-48108;1;0;1;0;1;371;2.56937391;8.219178082;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__faecium
OTU-120;1;1;1;0;1;33800;4.5289167;67.12328767;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__faecium
OTU-585;1;1;1;1;1;1587;3.200576927;90.4109589;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__;s__
OTU-108;1;1;1;1;0;1643;3.215637563;91.78082192;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__;s__
OTU-6499;1;1;1;0;1;315;2.498310554;28.08219178;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__
OTU-53;1;1;1;1;0;1579;3.19838213;90.4109589;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter;s__
OTU-452;1;1;1;0;1;322;2.507855872;23.28767123;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__
OTU-374;1;1;1;0;1;855;2.931966115;89.04109589;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Niabella;s__
OTU-176;1;1;1;1;0;2867;3.457427693;85.61643836;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__
OTU-198;1;1;1;1;0;1635;3.213517757;90.4109589;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Parasegitibacter;s__luojiensis
OTU-966;1;1;1;1;0;3674;3.565139152;86.98630137;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter;s__
OTU-278;1;1;1;1;1;2676;3.427486109;91.78082192;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter;s__
OTU-55504;1;1;1;1;0;2127;3.32776749;85.61643836;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter;s__
OTU-564;1;1;1;1;0;967;2.985426474;62.32876712;k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Chitinophaga;s__
OTU-640;1;1;1;0;1;583;2.765668555;80.1369863;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
OTU-375;1;1;1;1;1;1307;3.116275588;86.30136986;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
OTU-820;1;1;1;0;1;440;2.643452676;48.63013699;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
OTU-309;1;1;1;1;0;1275;3.105510185;91.09589041;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
OTU-183;1;1;1;1;0;2675;3.427323786;91.09589041;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
OTU-442;1;1;1;1;1;3939;3.595385981;92.46575342;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
OTU-24;1;1;1;1;1;34456;4.537264859;94.52054795;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
OTU-6175;1;1;0;1;0;193;2.285557309;49.31506849;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Rhodocytophaga;s__
OTU-2206;1;1;0;1;0;1903;3.279438788;82.87671233;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__
OTU-26;1;1;1;1;0;100194;5.000841715;91.78082192;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Pontibacter;s__
OTU-24525;1;1;1;1;0;2174;3.33725954;83.56164384;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Pontibacter;s__
OTU-1574;1;1;1;1;0;3450;3.537819095;85.61643836;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__
OTU-247;1;1;1;1;0;7602;3.880927865;87.67123288;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__terrigena
OTU-3;1;1;1;1;1;60903;4.784638686;95.20547945;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__
OTU-4943;1;1;1;0;0;499;2.698100546;85.61643836;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__
OTU-4397;1;1;0;0;0;125;2.096910013;30.82191781;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__
OTU-4225;1;1;1;1;0;3432;3.535547279;91.78082192;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;NA
OTU-94;1;1;1;1;0;4009;3.603036056;93.15068493;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina;s__
OTU-31;1;1;1;1;0;1688;3.227372442;88.35616438;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;NA
OTU-773;1;1;1;1;0;924;2.965671971;71.91780822;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus;s__
